protocol,file,delay,download_speed_bytes_per_sec
cubic,10MB.bin,0ms,11893646
cubic,100MB.bin,0ms,11953137
cubic,1000MB.bin,0ms,11970138
bbr,10MB.bin,0ms,11822693
bbr,100MB.bin,0ms,11825884
bbr,1000MB.bin,0ms,11877416
cubic,10MB.bin,50ms,8709768
cubic,100MB.bin,50ms,11562434
cubic,1000MB.bin,50ms,11924372
bbr,10MB.bin,50ms,8607994
bbr,100MB.bin,50ms,11467592
bbr,1000MB.bin,50ms,11593864
cubic,10MB.bin,100ms,6426889
cubic,100MB.bin,100ms,11034742
cubic,1000MB.bin,100ms,11866843
bbr,10MB.bin,100ms,6329855
bbr,100MB.bin,100ms,11008434
bbr,1000MB.bin,100ms,11517675
