scenario,algorithm,avg_throughput_mbps,jitter_mbps,rebuffering_ratio,total_stalls,fairness_index,per_stream_avg_throughput_mbps
schedule/youtube-60-schedule.json:long,cubic,1.2873415868893807,0.3444695165241368,0.5192853463178388,36.39054799079895,1.0,"{""0"": 1.31433275619775}"
schedule/youtube-60-schedule.json:long,bbr,1.2855372319361096,0.35493333028983165,0.519941421793831,36.48766613006592,1.0,"{""0"": 1.3127264252979218}"
schedule/youtube-60-schedule.json:long,cubic,1.2873571703019009,0.3440789963400614,0.5192924658692097,36.39060640335083,1.0,"{""0"": 1.3147349362310454}"
schedule/youtube-60-schedule.json:long,bbr,1.2854627965466638,0.35534623808470184,0.5199607625520863,36.49113631248474,1.0,"{""0"": 1.312418961222513}"
schedule/youtube-scrub-schedule.json:long,cubic,1.7980847697212987,0.41769493567850347,0.3412750691292617,24.258938550949097,1.0,"{""0"": 1.8541725050671038}"
schedule/youtube-scrub-schedule.json:long,bbr,1.7955493838744603,0.4418690990640733,0.34221820126497376,24.360328674316406,1.0,"{""0"": 1.8512020892065182}"
schedule/ys-doomscroll-schedule.json:short,cubic,5.33643786502851,2.3262011289988314,0.6403409146510077,36.58466076850891,0.9940826390114229,"{""1"": 2.8353585190142527, ""4"": 2.3486268063718296, ""5"": 2.562018697411789}"
schedule/ys-doomscroll-schedule.json:short,bbr,5.849785625577715,2.1672769294043706,0.6057027395683585,31.568854570388794,0.9959292254788604,"{""5"": 2.390960334055314, ""1"": 2.6197584019002815, ""4"": 2.244014341786292}"
schedule/ys-loop-schedule.json:short,cubic,,,,,,{}
schedule/ys-loop-schedule.json:short,bbr,,,,,,{}
schedule/ys-rapid-schedule.json:short,cubic,9.549878001048015,0.6334511777850171,0.8003202915880199,106.82957005500793,0.39695605835336606,"{""9"": 1.8838841225995973, ""25"": 31.449008679189955, ""15"": 1.4452089575674625, ""22"": 2.0781583209598704, ""18"": 38.36759158155705, ""24"": 37.719321302406534, ""21"": 2.088978868314386, ""16"": 2.5301548672237772, ""6"": 90.84517134281873}"
schedule/ys-rapid-schedule.json:short,bbr,9.359729274333622,1.4378280804072292,0.9440802590300633,128.57931423187256,0.3966138156337717,"{""25"": 18.858547772330006, ""9"": 1.6362791883577545, ""15"": 0.9974044022791269, ""22"": 3.172377187818761, ""24"": 59.74864713258396, ""21"": 2.557017213466643, ""18"": 47.596309316611396, ""16"": 3.2750052692207516, ""6"": 13.285782880552516}"
schedule/youtube-60-schedule.json:long,cubic,1.2871749275372335,0.3432864166179618,0.5193026630800607,36.39647340774536,1.0,"{""0"": 1.3142909525834277}"
schedule/youtube-60-schedule.json:long,bbr,1.285473709762266,0.3548156857547391,0.5199675617384447,36.49130368232727,1.0,"{""0"": 1.3123264287524434}"
schedule/youtube-scrub-schedule.json:long,cubic,1.798119291327158,0.41927081837473973,0.3412823357346349,24.258989334106445,1.0,"{""0"": 1.8540050440286027}"
schedule/youtube-scrub-schedule.json:long,bbr,1.7955971657143641,0.44154658143720815,0.3422208939552122,24.359872102737427,1.0,"{""0"": 1.8512971121225756}"
schedule/ys-doomscroll-schedule.json:short,cubic,5.138023810530019,2.3051338329048985,0.6537494929234444,38.793100357055664,0.995219110886668,"{""1"": 2.7872125539983035, ""4"": 2.3793933748938367, ""5"": 2.460823460542421}"
schedule/ys-doomscroll-schedule.json:short,bbr,5.643628076851915,2.014295674594997,0.6196056993845656,33.473124742507935,0.9817662674359942,"{""5"": 2.2982331892450585, ""1"": 2.9120204758244386, ""4"": 2.137378221863025}"
schedule/ys-repeat-schedule.json:short,cubic,4.865664210593359,2.6517597549908434,0.990553324455517,10.522449493408203,,{}
schedule/ys-repeat-schedule.json:short,bbr,7.69716907615831,1.6558905177771948,0.9850574911798381,6.614723205566406,,{}
schedule/ys-rapid-schedule.json:short,cubic,9.549720070126819,0.48404848010224844,0.8701330214096716,116.15033984184265,0.3646591275976698,"{""15"": 1.129748231464775, ""16"": 1.796504800069814, ""25"": 30.467511194619615, ""21"": 1.8614189461402317, ""22"": 2.3484116733328153, ""9"": 2.1972525384089203, ""24"": 18.007091647656907, ""18"": 38.143974777136854, ""6"": 85.4352296087133}"
schedule/ys-rapid-schedule.json:short,bbr,9.394616779883291,0.6806250631847347,0.8035105764476019,109.02798962593079,0.28638452468284725,"{""15"": 1.2088929642065616, ""9"": 2.0180202931185605, ""25"": 37.03430603673587, ""24"": 23.202082008040044, ""22"": 3.305318049441793, ""16"": 2.448412014527243, ""18"": 14.714629993197784, ""21"": 2.1273234417053, ""6"": 118.99765893066497}"
